drug,reaction,case_count,a,b,c,d,drug_total_reports,reaction_total_reports,PRR,ROR,chi_squared,p_value,signal_detected
TRAMADOL,SEIZURE,369,369,1137,483,13011,1506,852,6.85,8.74,1103.12,0.0,True
SERTRALINE,SUICIDAL IDEATION,457,457,1041,955,12547,1498,1412,4.31,5.77,865.65,0.0,True
WARFARIN,GASTROINTESTINAL HAEMORRHAGE,814,814,636,2014,11536,1450,2828,3.78,7.33,1455.85,0.0,True
ATORVASTATIN,LIVER INJURY,310,310,1211,836,12643,1521,1146,3.29,3.87,387.41,0.0,True
PREDNISONE,TENDON RUPTURE,952,952,570,2974,10504,1522,3926,2.83,5.9,1157.85,0.0,True
ATORVASTATIN,ACUTE KIDNEY INJURY,25,25,1496,136,13343,1521,161,1.63,1.64,4.6,0.03189,False
IBUPROFEN,DIZZINESS,138,138,1347,986,12529,1485,1124,1.27,1.3,7.41,0.00647,False
LISINOPRIL,HEADACHE,159,159,1388,1096,12357,1547,1255,1.26,1.29,7.94,0.00483,False
LISINOPRIL,MYOCARDIAL INFARCTION,197,197,1350,1374,12079,1547,1571,1.25,1.28,9.14,0.0025,False
METFORMIN,INSOMNIA,98,98,1330,752,12820,1428,850,1.24,1.26,3.98,0.04604,False
OMEPRAZOLE,RASH,130,130,1331,979,12560,1461,1109,1.23,1.25,5.11,0.02376,False
AMOXICILLIN,MYOCARDIAL INFARCTION,198,198,1384,1373,12045,1582,1571,1.22,1.26,7.63,0.00575,False
LISINOPRIL,RASH,136,136,1411,973,12480,1547,1109,1.22,1.24,4.7,0.0302,False
AMOXICILLIN,RASH,138,138,1444,971,12447,1582,1109,1.21,1.23,4.35,0.03694,False
IBUPROFEN,NAUSEA,222,222,1263,1668,11847,1485,1890,1.21,1.25,8.03,0.00461,False
METFORMIN,MYOCARDIAL INFARCTION,176,176,1252,1395,12177,1428,1571,1.2,1.23,5.55,0.01843,False
AMOXICILLIN,DIZZINESS,138,138,1444,986,12432,1582,1124,1.19,1.2,3.66,0.05564,False
OMEPRAZOLE,HYPOGLYCAEMIA,182,182,1279,1432,12107,1461,1614,1.18,1.2,4.66,0.03084,False
WARFARIN,ACUTE KIDNEY INJURY,18,18,1432,143,13407,1450,161,1.18,1.18,0.27,0.60355,False
AMOXICILLIN,NAUSEA,229,229,1353,1661,11757,1582,1890,1.17,1.2,5.46,0.01947,False
OMEPRAZOLE,HEADACHE,141,141,1320,1114,12425,1461,1255,1.17,1.19,3.3,0.06932,False
IBUPROFEN,ANAPHYLACTIC REACTION,214,214,1271,1698,11817,1485,1912,1.15,1.17,3.94,0.04717,False
METFORMIN,HYPOGLYCAEMIA,174,174,1254,1440,12132,1428,1614,1.15,1.17,3.18,0.07477,False
OMEPRAZOLE,NAUSEA,209,209,1252,1681,11858,1461,1890,1.15,1.18,4.1,0.04277,False
AMOXICILLIN,ACUTE KIDNEY INJURY,19,19,1563,142,13276,1582,161,1.13,1.14,0.15,0.695,False
LISINOPRIL,NAUSEA,218,218,1329,1672,11781,1547,1890,1.13,1.16,3.34,0.06777,False
OMEPRAZOLE,ANAPHYLACTIC REACTION,207,207,1254,1705,11834,1461,1912,1.13,1.15,2.8,0.09416,False
ATORVASTATIN,MYOCARDIAL INFARCTION,176,176,1345,1395,12084,1521,1571,1.12,1.13,2.05,0.15241,False
IBUPROFEN,HEADACHE,137,137,1348,1118,12397,1485,1255,1.12,1.13,1.46,0.22628,False
